order_id,client_id,product_id,country,order_date,quantity,unit_price,status
WEB-20250401-1,49858,4867,Canada,2025-04-01,10,98.49,PAID
WEB-20250401-2,32622,5502,UK,2025-04-01,4,194.03,PAID
WEB-20250401-3,35311,5367,Germany,2025-04-01,5,113.17,CANCELLED
WEB-20250401-4,63536,5302,France,2025-04-01,6,154.79,PAID
WEB-20250401-5,64295,4883,Canada,2025-04-01,2,67.78,PAID
WEB-20250401-6,39314,4949,Canada,2025-04-01,1,198.07,PAID
WEB-20250401-7,33328,4512,France,2025-04-01,1,99.2,PAID
WEB-20250401-8,63204,4486,Canada,2025-04-01,5,71.12,PAID
WEB-20250401-9,35985,4631,France,2025-04-01,2,64.75,PAID
WEB-20250401-10,48765,5333,France,2025-04-01,3,154.05,PAID
WEB-20250401-11,32902,4715,France,2025-04-01,2,112.33,PAID
WEB-20250401-12,52359,5192,France,2025-04-01,2,159.82,PAID
WEB-20250401-13,68975,4637,France,2025-04-01,1,93.62,PAID
WEB-20250401-14,50656,4713,France,2025-04-01,4,147.54,PAID
WEB-20250401-15,67845,4511,France,2025-04-01,4,105.11,PAID
WEB-20250401-16,33440,5054,France,2025-04-01,2,67.79,CANCELLED
WEB-20250401-17,40932,5261,Germany,2025-04-01,1,57.7,PAID
WEB-20250401-18,30266,5192,Germany,2025-04-01,9,197.35,PAID
WEB-20250401-19,34130,4756,France,2025-04-01,1,102.95,PAID
WEB-20250401-20,44788,5283,France,2025-04-01,1,90.69,CANCELLED
WEB-20250401-21,31540,4755,France,2025-04-01,10,142.04,PAID
WEB-20250401-22,38969,4963,France,2025-04-01,3,90.56,PAID
WEB-20250401-23,65552,5569,Japan,2025-04-01,1,191.0,CANCELLED
WEB-20250401-24,63459,5049,France,2025-04-01,12,98.3,PAID
WEB-20250401-25,62080,4996,France,2025-04-01,4,114.94,PAID
WEB-20250401-26,49686,4771,Canada,2025-04-01,1,67.66,PAID
WEB-20250401-27,66819,4740,Japan,2025-04-01,2,76.45,CANCELLED
WEB-20250401-28,63905,5118,France,2025-04-01,4,157.95,PAID
WEB-20250401-29,49893,5152,Canada,2025-04-01,3,75.65,PAID
WEB-20250401-30,39869,5023,UK,2025-04-01,8,151.38,PAID
WEB-20250401-31,62245,4362,Canada,2025-04-01,2,154.43,PAID
WEB-20250401-32,40982,5190,France,2025-04-01,3,148.61,CANCELLED
WEB-20250401-33,68218,4427,France,2025-04-01,1,139.88,PAID
WEB-20250401-34,43182,4797,Canada,2025-04-01,1,57.02,PAID
WEB-20250401-35,66746,4986,Japan,2025-04-01,3,126.65,PAID
WEB-20250401-36,66728,5123,France,2025-04-01,2,110.94,PAID
WEB-20250401-37,68943,4881,France,2025-04-01,5,86.86,PAID
WEB-20250401-38,58835,5258,UK,2025-04-01,1,176.06,PAID
WEB-20250401-39,55007,5210,France,2025-04-01,3,74.55,PAID
WEB-20250401-40,64604,5079,Japan,2025-04-01,6,136.31,PAID
WEB-20250401-41,45952,5281,Canada,2025-04-01,4,74.52,PAID
WEB-20250401-42,66262,5148,France,2025-04-01,2,197.24,PAID
WEB-20250401-43,40261,4794,France,2025-04-01,1,75.77,CANCELLED
WEB-20250401-44,40530,4709,Germany,2025-04-01,1,122.05,PAID
WEB-20250401-45,69868,4952,Canada,2025-04-01,1,133.92,PAID
WEB-20250401-46,61786,5206,France,2025-04-01,1,57.86,PAID
WEB-20250401-47,54521,5418,UK,2025-04-01,7,98.64,PAID
WEB-20250401-48,54556,4758,France,2025-04-01,1,104.2,PAID
WEB-20250401-49,56760,4718,Germany,2025-04-01,3,77.61,PAID
WEB-20250401-50,43563,4777,Canada,2025-04-01,4,67.76,PAID
WEB-20250401-51,49306,5338,Canada,2025-04-01,2,113.36,PAID
WEB-20250401-52,64764,4975,Japan,2025-04-01,3,69.05,PAID
WEB-20250401-53,65701,4893,Germany,2025-04-01,6,165.03,PAID
WEB-20250401-54,40898,5541,Canada,2025-04-01,7,193.34,PAID
WEB-20250401-55,43558,4880,France,2025-04-01,4,77.09,PAID
WEB-20250401-56,44791,5320,UK,2025-04-01,3,82.0,PAID
WEB-20250401-57,45987,5168,Germany,2025-04-01,2,50.85,CANCELLED
WEB-20250401-58,69441,5027,Japan,2025-04-01,4,191.03,PAID
WEB-20250401-59,61319,4681,Canada,2025-04-01,2,167.58,PAID
WEB-20250401-60,52316,4914,Canada,2025-04-01,3,134.43,PAID
WEB-20250401-61,59423,4937,France,2025-04-01,2,172.73,PAID
WEB-20250401-62,48514,5301,France,2025-04-01,8,62.05,PAID
WEB-20250401-63,55565,5340,Canada,2025-04-01,4,95.53,PAID
WEB-20250401-64,30445,4972,Germany,2025-04-01,8,197.08,PAID
WEB-20250401-65,42203,4911,Japan,2025-04-01,9,176.26,CANCELLED
WEB-20250401-66,53789,5708,France,2025-04-01,1,141.82,PAID
WEB-20250401-67,38820,5562,France,2025-04-01,1,53.17,PAID
WEB-20250401-68,44968,4888,UK,2025-04-01,6,86.05,PAID
WEB-20250401-69,64014,5697,Canada,2025-04-01,2,108.03,PAID
WEB-20250401-70,55068,5138,France,2025-04-01,2,68.47,PAID
WEB-20250401-71,36028,5330,Canada,2025-04-01,1,138.99,PAID
WEB-20250401-72,36789,4836,France,2025-04-01,3,146.36,PAID
WEB-20250401-73,66834,4624,France,2025-04-01,5,144.41,PAID
WEB-20250401-74,69548,5627,Japan,2025-04-01,6,131.03,PAID
WEB-20250401-75,40944,5048,Canada,2025-04-01,2,97.99,CANCELLED
WEB-20250401-76,58372,5060,Germany,2025-04-01,1,166.46,PAID
WEB-20250401-77,59214,4995,France,2025-04-01,2,187.35,PAID
WEB-20250401-78,40271,4901,France,2025-04-01,2,180.32,PAID
WEB-20250401-79,46280,5189,Canada,2025-04-01,6,176.17,PAID
WEB-20250401-80,45349,5338,Japan,2025-04-01,3,169.95,CANCELLED
WEB-20250401-81,37400,4802,France,2025-04-01,8,145.66,PAID
WEB-20250401-82,62198,4681,Japan,2025-04-01,1,89.57,PAID
WEB-20250401-83,59554,4992,Canada,2025-04-01,2,103.04,PAID
WEB-20250401-84,65056,5303,Japan,2025-04-01,1,66.3,PAID
WEB-20250401-85,39990,5590,France,2025-04-01,1,136.07,PAID
WEB-20250401-86,45322,4554,Japan,2025-04-01,1,138.15,PAID
WEB-20250401-87,53408,5494,Canada,2025-04-01,4,172.27,PAID
WEB-20250401-88,56169,4884,France,2025-04-01,1,138.98,CANCELLED
WEB-20250401-89,58526,5163,Japan,2025-04-01,2,65.37,PAID
WEB-20250401-90,51395,5211,France,2025-04-01,1,88.56,PAID
WEB-20250401-91,49453,4679,Canada,2025-04-01,1,111.59,CANCELLED
WEB-20250401-92,30358,5049,Japan,2025-04-01,2,85.47,CANCELLED
WEB-20250401-93,58014,5559,France,2025-04-01,2,166.46,PAID
WEB-20250401-94,45204,5124,France,2025-04-01,1,127.7,PAID
WEB-20250401-95,45287,5354,UK,2025-04-01,3,58.57,PAID
WEB-20250401-96,67482,4588,France,2025-04-01,1,140.84,PAID
WEB-20250401-97,46127,5342,Germany,2025-04-01,4,161.26,PAID
WEB-20250401-98,53803,5226,Japan,2025-04-01,3,58.45,PAID
WEB-20250401-99,35027,4914,Canada,2025-04-01,2,157.93,PAID
WEB-20250401-100,38562,4570,France,2025-04-01,2,81.31,PAID
WEB-20250401-101,66594,5112,France,2025-04-01,6,198.42,CANCELLED
WEB-20250401-102,59485,4558,France,2025-04-01,2,135.97,PAID
WEB-20250401-103,34063,5022,Japan,2025-04-01,2,67.38,PAID
WEB-20250401-104,59944,5272,Japan,2025-04-01,1,94.96,CANCELLED
WEB-20250401-105,38573,5441,France,2025-04-01,1,65.4,PAID
WEB-20250401-106,69856,5304,Japan,2025-04-01,1,153.31,PAID
WEB-20250401-107,62987,5195,Canada,2025-04-01,6,198.6,PAID
WEB-20250401-108,46660,4989,UK,2025-04-01,1,124.04,PAID
WEB-20250401-109,46078,5566,Germany,2025-04-01,9,189.9,PAID
WEB-20250401-110,62285,4951,France,2025-04-01,3,120.6,PAID
WEB-20250401-111,61195,5119,Canada,2025-04-01,7,121.84,PAID
WEB-20250401-112,39230,5025,Japan,2025-04-01,1,171.89,PAID
WEB-20250401-113,62194,4560,France,2025-04-01,3,181.6,PAID
WEB-20250401-114,68756,5590,Germany,2025-04-01,3,183.51,PAID
WEB-20250401-115,46971,4965,France,2025-04-01,4,134.28,PAID
WEB-20250401-116,34559,5142,Japan,2025-04-01,5,143.13,PAID
WEB-20250401-117,54750,4969,UK,2025-04-01,1,124.63,CANCELLED
WEB-20250401-118,68649,4988,Canada,2025-04-01,1,159.45,PAID
WEB-20250401-119,65239,5023,Canada,2025-04-01,1,168.79,PAID
WEB-20250401-120,44903,5294,Canada,2025-04-01,1,160.38,PAID
WEB-20250401-121,46872,4863,France,2025-04-01,4,192.19,PAID
WEB-20250401-122,44647,4977,Canada,2025-04-01,3,190.03,PAID
WEB-20250401-123,41219,5245,France,2025-04-01,6,112.88,PAID
WEB-20250401-124,34320,4873,Canada,2025-04-01,1,94.07,CANCELLED
WEB-20250401-125,59293,5177,Canada,2025-04-01,2,164.23,PAID
WEB-20250401-126,65671,4750,Germany,2025-04-01,4,199.85,PAID
WEB-20250401-127,49978,5151,France,2025-04-01,1,141.39,PAID
WEB-20250401-128,68745,4941,France,2025-04-01,2,64.0,PAID
WEB-20250401-129,31022,4835,France,2025-04-01,5,73.42,CANCELLED
WEB-20250401-130,31208,5099,Canada,2025-04-01,1,171.48,CANCELLED
WEB-20250401-131,68631,5570,France,2025-04-01,1,187.14,PAID
WEB-20250401-132,66030,4944,Japan,2025-04-01,1,176.63,PAID
WEB-20250401-133,68500,5321,Canada,2025-04-01,1,152.47,PAID
WEB-20250401-134,44204,4446,Canada,2025-04-01,1,192.99,PAID
WEB-20250401-135,58546,5359,France,2025-04-01,1,58.15,CANCELLED
WEB-20250401-136,37259,5084,Canada,2025-04-01,7,129.63,CANCELLED
WEB-20250401-137,66991,4889,Canada,2025-04-01,7,187.72,CANCELLED
WEB-20250401-138,30048,4972,Japan,2025-04-01,5,190.79,PAID
WEB-20250401-139,31791,5487,France,2025-04-01,3,54.41,PAID
WEB-20250401-140,41045,4808,Canada,2025-04-01,2,134.16,PAID
WEB-20250401-141,41100,4884,Canada,2025-04-01,2,120.78,PAID
WEB-20250401-142,46576,5293,Canada,2025-04-01,1,76.3,PAID
WEB-20250401-143,52236,4960,France,2025-04-01,2,151.23,CANCELLED
WEB-20250401-144,33011,4944,Germany,2025-04-01,1,69.36,PAID
WEB-20250401-145,38038,5216,France,2025-04-01,2,170.34,PAID
WEB-20250401-146,63072,5084,Japan,2025-04-01,1,177.72,PAID
WEB-20250401-147,49793,4757,France,2025-04-01,3,81.09,CANCELLED
WEB-20250401-148,44388,4497,France,2025-04-01,3,109.71,PAID
WEB-20250401-149,52728,4782,France,2025-04-01,1,128.73,PAID
WEB-20250401-150,37110,5336,France,2025-04-01,1,180.33,CANCELLED
WEB-20250401-151,38810,4605,Canada,2025-04-01,2,198.45,PAID
WEB-20250401-152,66845,5028,Germany,2025-04-01,9,180.07,PAID
WEB-20250401-153,68130,4733,Germany,2025-04-01,4,53.25,PAID
WEB-20250401-154,53406,5392,France,2025-04-01,1,113.47,CANCELLED
WEB-20250401-155,66133,4900,Canada,2025-04-01,1,99.01,PAID
WEB-20250401-156,33547,4606,France,2025-04-01,2,159.96,PAID
WEB-20250401-157,44499,4195,Canada,2025-04-01,3,140.18,PAID
WEB-20250401-158,58542,4829,UK,2025-04-01,1,198.25,CANCELLED
WEB-20250401-159,45215,4603,Germany,2025-04-01,1,110.04,PAID
WEB-20250401-160,32850,4828,UK,2025-04-01,2,90.28,CANCELLED
WEB-20250401-161,33841,5175,France,2025-04-01,2,110.51,PAID
WEB-20250401-162,54231,5169,Japan,2025-04-01,2,98.97,PAID
WEB-20250401-163,54545,4406,Japan,2025-04-01,8,61.06,PAID
WEB-20250401-164,51463,4681,France,2025-04-01,1,93.18,PAID
WEB-20250401-165,35997,5414,France,2025-04-01,3,80.97,PAID
WEB-20250401-166,68708,5013,Japan,2025-04-01,2,158.2,PAID
WEB-20250401-167,35262,4703,UK,2025-04-01,5,162.27,PAID
WEB-20250401-168,41883,5271,France,2025-04-01,2,117.36,CANCELLED
WEB-20250401-169,31395,5481,France,2025-04-01,2,171.59,PAID
WEB-20250401-170,62164,4840,Japan,2025-04-01,1,184.53,PAID
WEB-20250401-171,61519,5360,Canada,2025-04-01,3,140.17,PAID
WEB-20250401-172,58294,4829,France,2025-04-01,1,160.29,PAID
WEB-20250401-173,48802,4572,Canada,2025-04-01,2,57.95,PAID
WEB-20250401-174,64291,5002,France,2025-04-01,1,65.82,PAID
WEB-20250401-175,68431,4925,UK,2025-04-01,2,164.98,PAID
WEB-20250401-176,35610,5232,Japan,2025-04-01,3,108.05,PAID
WEB-20250401-177,48870,5046,France,2025-04-01,3,188.33,PAID
WEB-20250401-178,51069,4970,Germany,2025-04-01,6,119.45,PAID
WEB-20250401-179,56476,4555,UK,2025-04-01,1,138.14,PAID
WEB-20250401-180,59142,4687,Canada,2025-04-01,10,77.93,PAID
