order_id,client_id,product_id,country,order_date,quantity,unit_price,status
MOB-20250402-115500,77996,8164,China,2025-04-02,1,141.98,PAID
MOB-20250402-115501,89257,7074,USA,2025-04-02,1,53.66,PAID
MOB-20250402-115502,85352,8482,India,2025-04-02,3,13.59,PAID
MOB-20250402-115503,97122,7524,China,2025-04-02,2,127.55,PAID
MOB-20250402-115504,85774,9821,India,2025-04-02,2,67.1,CANCELLED
MOB-20250402-115505,91620,9143,China,2025-04-02,3,74.97,PAID
MOB-20250402-115506,95612,9740,China,2025-04-02,2,34.29,PAID
MOB-20250402-115507,81840,8132,China,2025-04-02,1,102.32,CANCELLED
MOB-20250402-115508,88989,8110,India,2025-04-02,1,86.69,PAID
MOB-20250402-115509,80170,8131,Brazil,2025-04-02,3,18.55,CANCELLED
MOB-20250402-115510,91012,8580,China,2025-04-02,1,23.51,PAID
MOB-20250402-115511,78072,9520,Brazil,2025-04-02,2,42.49,PAID
MOB-20250402-115512,98179,9813,Brazil,2025-04-02,2,40.1,CANCELLED
MOB-20250402-115513,89770,8329,Brazil,2025-04-02,2,64.59,PAID
MOB-20250402-115514,84658,9070,India,2025-04-02,1,44.01,PAID
MOB-20250402-115515,77228,9506,Brazil,2025-04-02,3,104.46,PAID
MOB-20250402-115516,83492,9102,Brazil,2025-04-02,2,78.81,CANCELLED
MOB-20250402-115517,96123,7755,Brazil,2025-04-02,3,75.78,PAID
MOB-20250402-115518,91771,7168,China,2025-04-02,1,32.27,PAID
MOB-20250402-115519,71375,7500,USA,2025-04-02,3,101.45,CANCELLED
MOB-20250402-115520,95251,9089,India,2025-04-02,3,146.18,PAID
MOB-20250402-115521,71022,9878,Brazil,2025-04-02,1,131.24,PAID
MOB-20250402-115522,91445,7809,China,2025-04-02,1,13.7,PAID
MOB-20250402-115523,85166,7623,Brazil,2025-04-02,3,40.1,CANCELLED
MOB-20250402-115524,79477,9042,Brazil,2025-04-02,1,125.92,CANCELLED
MOB-20250402-115525,81661,9917,USA,2025-04-02,2,126.92,CANCELLED
MOB-20250402-115526,89316,7328,China,2025-04-02,2,142.3,CANCELLED
MOB-20250402-115527,85269,7871,USA,2025-04-02,2,114.25,PAID
MOB-20250402-115528,94028,7664,China,2025-04-02,3,88.24,CANCELLED
MOB-20250402-115529,92308,8469,Brazil,2025-04-02,1,120.38,PAID
MOB-20250402-115530,89539,9379,China,2025-04-02,3,61.57,PAID
MOB-20250402-115531,86259,8346,Brazil,2025-04-02,2,64.49,PAID
MOB-20250402-115532,73302,9244,China,2025-04-02,3,144.73,CANCELLED
MOB-20250402-115533,71416,7751,China,2025-04-02,1,148.04,PAID
MOB-20250402-115534,99863,8769,India,2025-04-02,3,30.18,PAID
MOB-20250402-115535,94081,7502,Brazil,2025-04-02,1,96.01,PAID
MOB-20250402-115536,84897,9601,France,2025-04-02,1,91.61,PAID
MOB-20250402-115537,86251,8612,Brazil,2025-04-02,2,70.68,PAID
MOB-20250402-115538,83345,8555,Brazil,2025-04-02,1,31.49,PAID
MOB-20250402-115539,80998,9936,India,2025-04-02,1,51.57,PAID
MOB-20250402-115540,93712,7211,Brazil,2025-04-02,3,98.28,CANCELLED
MOB-20250402-115541,72476,8790,Brazil,2025-04-02,1,119.54,PAID
MOB-20250402-115542,92673,7614,USA,2025-04-02,3,67.62,CANCELLED
MOB-20250402-115543,98386,9881,India,2025-04-02,1,78.05,PAID
MOB-20250402-115544,72351,8153,India,2025-04-02,1,64.45,PAID
MOB-20250402-115545,85602,8716,India,2025-04-02,1,55.12,PAID
MOB-20250402-115546,93590,8688,Brazil,2025-04-02,2,102.97,CANCELLED
MOB-20250402-115547,83298,9256,Brazil,2025-04-02,3,19.22,PAID
MOB-20250402-115548,87265,7276,France,2025-04-02,1,36.41,CANCELLED
MOB-20250402-115549,76297,7617,Brazil,2025-04-02,1,87.05,PAID
MOB-20250402-115550,78332,7608,Brazil,2025-04-02,3,68.19,PAID
MOB-20250402-115551,76651,9863,USA,2025-04-02,1,24.12,PAID
MOB-20250402-115552,81206,9527,France,2025-04-02,2,50.72,PAID
MOB-20250402-115553,91332,7197,Brazil,2025-04-02,3,47.39,PAID
MOB-20250402-115554,78805,7361,India,2025-04-02,3,51.47,PAID
MOB-20250402-115555,89814,9993,China,2025-04-02,3,97.19,PAID
MOB-20250402-115556,83130,9230,India,2025-04-02,2,44.3,PAID
MOB-20250402-115557,74052,8048,Brazil,2025-04-02,3,100.93,CANCELLED
MOB-20250402-115558,84661,7002,Brazil,2025-04-02,3,59.61,CANCELLED
MOB-20250402-115559,71582,9619,India,2025-04-02,1,36.14,PAID
MOB-20250402-115560,95949,8720,India,2025-04-02,3,80.78,PAID
MOB-20250402-115561,94222,9698,USA,2025-04-02,3,82.25,PAID
MOB-20250402-115562,88656,8091,India,2025-04-02,3,144.4,PAID
MOB-20250402-115563,82516,9572,India,2025-04-02,1,40.03,CANCELLED
MOB-20250402-115564,94438,7028,Brazil,2025-04-02,3,139.22,PAID
MOB-20250402-115565,95138,7533,India,2025-04-02,1,94.22,PAID
MOB-20250402-115566,87501,7203,Brazil,2025-04-02,2,92.02,PAID
MOB-20250402-115567,76094,8566,India,2025-04-02,3,146.63,CANCELLED
MOB-20250402-115568,74842,7433,USA,2025-04-02,2,93.35,CANCELLED
MOB-20250402-115569,92806,8416,Brazil,2025-04-02,3,107.98,CANCELLED
MOB-20250402-115570,80922,7975,China,2025-04-02,1,107.66,PAID
MOB-20250402-115571,87426,9395,Brazil,2025-04-02,2,102.84,PAID
MOB-20250402-115572,95382,8984,China,2025-04-02,2,145.74,PAID
MOB-20250402-115573,85622,7472,Brazil,2025-04-02,2,113.68,PAID
MOB-20250402-115574,78171,7060,Brazil,2025-04-02,2,55.34,PAID
MOB-20250402-115575,90169,8813,China,2025-04-02,2,89.75,PAID
MOB-20250402-115576,73894,7724,China,2025-04-02,3,145.94,PAID
MOB-20250402-115577,74749,8531,China,2025-04-02,2,17.39,PAID
MOB-20250402-115578,95279,7628,France,2025-04-02,3,106.64,PAID
MOB-20250402-115579,99367,9210,France,2025-04-02,2,11.18,CANCELLED
MOB-20250402-115580,75264,9525,China,2025-04-02,1,18.73,PAID
MOB-20250402-115581,81405,8366,China,2025-04-02,2,35.8,PAID
MOB-20250402-115582,89735,8298,India,2025-04-02,1,132.41,PAID
MOB-20250402-115583,97727,8818,Brazil,2025-04-02,2,142.83,PAID
MOB-20250402-115584,87238,7075,China,2025-04-02,2,145.07,PAID
MOB-20250402-115585,91983,8046,India,2025-04-02,3,110.13,PAID
MOB-20250402-115586,94715,9816,India,2025-04-02,3,104.57,PAID
MOB-20250402-115587,77640,9482,India,2025-04-02,2,37.24,PAID
MOB-20250402-115588,97261,9607,China,2025-04-02,2,77.15,PAID
MOB-20250402-115589,77400,9636,Brazil,2025-04-02,3,144.96,PAID
MOB-20250402-115590,86489,8432,India,2025-04-02,3,38.32,PAID
MOB-20250402-115591,82165,8350,Brazil,2025-04-02,2,43.36,PAID
MOB-20250402-115592,93525,7104,China,2025-04-02,3,48.88,PAID
MOB-20250402-115593,89351,9848,Brazil,2025-04-02,3,84.5,PAID
MOB-20250402-115594,91440,9674,Brazil,2025-04-02,2,33.58,CANCELLED
MOB-20250402-115595,81053,8056,India,2025-04-02,1,107.48,CANCELLED
MOB-20250402-115596,73952,9395,China,2025-04-02,2,23.91,PAID
MOB-20250402-115597,79936,8017,India,2025-04-02,1,88.54,PAID
MOB-20250402-115598,87716,7149,Brazil,2025-04-02,1,113.66,PAID
MOB-20250402-115599,94369,8304,China,2025-04-02,2,17.42,PAID
MOB-20250402-115600,98753,8611,China,2025-04-02,2,147.99,PAID
MOB-20250402-115601,83540,7730,Brazil,2025-04-02,1,66.06,PAID
MOB-20250402-115602,77751,7960,Brazil,2025-04-02,3,74.99,CANCELLED
MOB-20250402-115603,74833,9207,Brazil,2025-04-02,1,144.95,PAID
MOB-20250402-115604,78972,9193,China,2025-04-02,1,79.57,CANCELLED
MOB-20250402-115605,88485,7904,Brazil,2025-04-02,1,24.15,PAID
MOB-20250402-115606,89711,8089,Brazil,2025-04-02,2,91.9,PAID
MOB-20250402-115607,98636,7210,China,2025-04-02,2,120.8,PAID
MOB-20250402-115608,83646,7044,USA,2025-04-02,3,60.02,PAID
MOB-20250402-115609,93386,7888,Brazil,2025-04-02,1,44.11,PAID
MOB-20250402-115610,76674,7326,China,2025-04-02,2,121.58,PAID
MOB-20250402-115611,91664,7511,Brazil,2025-04-02,1,67.74,PAID
MOB-20250402-115612,71400,9481,India,2025-04-02,3,45.22,PAID
MOB-20250402-115613,84861,8457,Brazil,2025-04-02,3,123.31,PAID
MOB-20250402-115614,79344,8641,India,2025-04-02,3,28.13,PAID
MOB-20250402-115615,78057,8540,China,2025-04-02,1,117.34,CANCELLED
MOB-20250402-115616,70698,8362,Brazil,2025-04-02,3,112.21,PAID
MOB-20250402-115617,84885,8934,Brazil,2025-04-02,1,52.8,PAID
MOB-20250402-115618,76629,7890,Brazil,2025-04-02,1,47.9,CANCELLED
MOB-20250402-115619,83303,9252,Brazil,2025-04-02,2,149.86,PAID
MOB-20250402-115620,71299,7264,India,2025-04-02,1,56.32,CANCELLED
MOB-20250402-115621,90237,8424,France,2025-04-02,1,36.38,PAID
MOB-20250402-115622,79943,7358,France,2025-04-02,3,40.96,PAID
MOB-20250402-115623,84531,7850,China,2025-04-02,1,137.23,PAID
MOB-20250402-115624,74736,8738,Brazil,2025-04-02,1,58.27,CANCELLED
MOB-20250402-115625,82211,9992,Brazil,2025-04-02,2,54.85,PAID
MOB-20250402-115626,81207,7933,Brazil,2025-04-02,2,101.92,CANCELLED
MOB-20250402-115627,89158,8218,Brazil,2025-04-02,1,20.36,PAID
MOB-20250402-115628,87665,7766,India,2025-04-02,1,115.77,PAID
MOB-20250402-115629,95329,7611,China,2025-04-02,2,32.55,PAID
MOB-20250402-115630,84947,8091,Brazil,2025-04-02,1,58.31,PAID
MOB-20250402-115631,74777,7635,France,2025-04-02,1,71.29,CANCELLED
MOB-20250402-115632,94427,9579,Brazil,2025-04-02,3,49.15,PAID
MOB-20250402-115633,95477,7167,France,2025-04-02,3,51.42,PAID
MOB-20250402-115634,72841,8228,Brazil,2025-04-02,2,91.71,PAID
MOB-20250402-115635,70437,9734,Brazil,2025-04-02,3,82.42,PAID
