order_id,client_id,product_id,country,order_date,quantity,unit_price,status
PART-20250405-709501,1472,2287,USA,2025-04-05,16,176.19,PAID
PART-20250405-709502,27164,2460,France,2025-04-05,6,470.52,PAID
PART-20250405-709503,28974,2089,Canada,2025-04-05,19,178.19,PAID
PART-20250405-709504,3620,2000,Germany,2025-04-05,7,288.68,PAID
PART-20250405-709505,12941,1490,UK,2025-04-05,20,234.92,PAID
PART-20250405-709506,6077,1116,UK,2025-04-05,18,457.28,PAID
PART-20250405-709507,4619,2722,UK,2025-04-05,12,464.41,PAID
PART-20250405-709508,22215,1021,Germany,2025-04-05,13,281.67,PAID
PART-20250405-709509,18869,1013,UK,2025-04-05,17,319.03,PAID
PART-20250405-709510,15004,2563,USA,2025-04-05,13,271.32,PAID
PART-20250405-709511,27113,1909,USA,2025-04-05,13,182.84,PAID
PART-20250405-709512,27966,1685,UK,2025-04-05,13,351.43,PAID
PART-20250405-709513,3158,2983,UK,2025-04-05,18,326.31,PAID
PART-20250405-709514,26748,2029,UK,2025-04-05,11,318.25,PAID
PART-20250405-709515,20531,1825,Germany,2025-04-05,10,451.35,PAID
PART-20250405-709516,10475,2378,UK,2025-04-05,7,426.39,PAID
PART-20250405-709517,23915,2396,Canada,2025-04-05,14,238.63,PAID
PART-20250405-709518,19498,1478,Germany,2025-04-05,10,294.48,PAID
PART-20250405-709519,3927,1841,USA,2025-04-05,9,404.72,PAID
PART-20250405-709520,6801,2633,USA,2025-04-05,6,199.81,PAID
PART-20250405-709521,25485,2739,USA,2025-04-05,14,440.55,PAID
PART-20250405-709522,8488,1288,Germany,2025-04-05,17,174.2,PAID
PART-20250405-709523,12647,2536,USA,2025-04-05,17,207.42,PAID
PART-20250405-709524,4231,2326,USA,2025-04-05,10,341.86,PAID
PART-20250405-709525,28227,2862,UK,2025-04-05,20,426.89,PAID
PART-20250405-709526,2980,1537,USA,2025-04-05,16,348.61,PAID
PART-20250405-709527,26325,2827,France,2025-04-05,20,489.91,PAID
PART-20250405-709528,23218,2603,USA,2025-04-05,13,377.09,PAID
PART-20250405-709529,12370,1006,USA,2025-04-05,20,470.14,PAID
PART-20250405-709530,7850,1300,USA,2025-04-05,5,286.85,PAID
PART-20250405-709531,741,2574,Germany,2025-04-05,15,306.12,PAID
PART-20250405-709532,4824,1797,USA,2025-04-05,18,378.62,PAID
PART-20250405-709533,16877,1927,UK,2025-04-05,10,403.3,PAID
PART-20250405-709534,17839,1156,Canada,2025-04-05,14,312.31,PAID
PART-20250405-709535,11735,2759,USA,2025-04-05,18,386.66,PAID
PART-20250405-709536,2561,1832,Germany,2025-04-05,9,294.15,PAID
